id,adjusted,age,bmi,cohort1,cohort2,cohort3,cohort4,endurancecat,endurancespeed,female,footwear,group,injury,k5_d,k5_di,k5_ti,k5_ti_adj,k5_tr,k10_d,k10_di,k10_ti,k10_ti_adj,k10_tr,m5_d,m5_di,m5_ti,m5_ti_adj,m5_tr,m10_d,m10_di,m10_ti,m10_ti_adj,m10_tr,mh_d,mh_di,mh_ti,mh_ti_adj,mh_tr,mf_d,mf_di,mf_ti,mf_ti_adj,mf_tr,max,sprint,tempo,typical,model1_time,model2_time
179,1,27,24.38188744,1,1,1,1,2,3,0,2,2,2,5000,4,1327,1335.428711,2,,,,,,,,,,,,,,,,21097.5,3,6592,6592,3,42195,3,15120,15120,2,55,0,1,40,,
180,1,30,21.38588142,1,1,,,1,1,0,2,3,1,,,,,,,,,,,,,,,,,,,,,21097.5,2,4630,4596.112305,2,42195,2,10211,10173.90723,2,70,1,1,60,168.3042603,
181,1,27,20.89957428,,,,,1,2,1,2,1,1,5000,4,1498,1508.749756,2,10000,3,2766,2766,1,,,,,,,,,,,,,,,,,,,,,30,0,1,28,,
182,1,26,22.79490089,,,,,2,5,0,2,2,1,5000,4,1143,1149.247803,2,,,,,,,,,,,,,,,,21097.5,3,5379,5379,2,,,,,,46,1,1,40,,
183,1,33,21.24975014,,,,,2,3,0,2,2,1,,,,,,10000,3,2980,2980,1,8045,4,2266,2369.44165,1,16090,3,4998,4998,1,,,,,,,,,,,17,0,1,15,,
184,1,17,23.00556564,,,,,1,2,0,2,2,2,5000,4,1070,1075.473267,1,,,,,,8045,3,1800,1800.000122,1,,,,,,,,,,,,,,,,40,1,0,30,,
185,1,60,24.37873268,1,1,1,1,3,8,0,2,1,1,5000,4,1121,1127.008911,1,,,,,,,,,,,,,,,,21097.5,4,5640,5791.467285,1,42195,4,12480,12633.19922,1,55,1,1,40,,
186,1,32,23.14814949,,,,,3,6,0,1,3,1,5000,3,1020,1020,3,,,,,,8045,2,1620,1585.219849,2,,,,,,21097.5,2,4680,4645.379395,2,,,,,,100,1,0,50,,
187,1,19,20.77922058,,,,,2,3,0,2,3,1,5000,4,970,974.4959106,1,10000,2,2277,2264.338379,2,,,,,,,,,,,,,,,,,,,,,45,1,1,40,,
188,1,38,22.37248611,1,1,,,2,3,1,2,1,2,,,,,,,,,,,,,,,,,,,,,21097.5,2,5803,5749.864746,2,42195,3,12420,12420,2,60,1,1,45,,
