state,region,date,cases.100k,deaths.100k
MD,South,2020-07-17,10.617380773568852,0.15371819635468773
MD,South,2020-07-18,11.409787250552172,0.14072792624020708
MD,South,2020-07-19,12.206523817573652,0.14505801627836729
MD,South,2020-07-20,12.007339675818283,0.13639783620204685
MD,South,2020-07-21,12.96212452923261,0.16670846646916837
MD,South,2020-07-22,12.778095702610802,0.15371819635468773
MD,South,2020-07-23,12.600562011046232,0.1472230612974474
MD,South,2020-07-24,13.182959121178781,0.16237837643100816
MD,South,2020-07-25,14.453840547378805,0.16021333141192803
MD,South,2020-07-26,14.14423910965035,0.15588324137376783
MD,South,2020-07-27,14.588073338561772,0.15155315133560762
MD,South,2020-07-28,14.808907930507944,0.16454342145008827
MD,South,2020-07-29,14.581578203504533,0.16454342145008827
MD,South,2020-07-30,15.159645223598922,0.17969873658364902
MD,South,2020-07-31,16.261653138310695,0.18186378160272912
MD,South,2020-08-01,16.452177099989747,0.18186378160272912
MD,South,2020-08-02,15.627294947720225,0.1775336915645689
MD,South,2020-08-03,16.019168096173726,0.17969873658364902
MD,South,2020-08-04,15.112014233179158,0.17969873658364902
MD,South,2020-08-05,14.958296036824471,0.16887351148824847
MD,South,2020-08-06,14.618383968828894,0.15804828639284793
MD,South,2020-08-07,14.408374601978123,0.16670846646916837
MD,South,2020-08-08,13.53153136925068,0.18186378160272912
MD,South,2020-08-09,13.293376417151867,0.17103855650732858
MD,South,2020-08-10,12.959959484213531,0.16454342145008827
MD,South,2020-08-11,12.33642651871846,0.1753686465454888
MD,South,2020-08-12,12.000844540761042,0.1775336915645689
MD,South,2020-08-13,12.401377869290863,0.18186378160272912
MD,South,2020-08-14,12.626542551275193,0.1732036015264087
MD,South,2020-08-15,12.648193001465994,0.15371819635468773
MD,South,2020-08-16,12.15672778213481,0.13423279118296674
MD,South,2020-08-17,11.282049594426447,0.12124252106848608
MD,South,2020-08-18,10.73645824961826,0.1277376561257264
MD,South,2020-08-19,10.418196631813483,0.1234075660875662
MD,South,2020-08-20,10.444177172042444,0.1234075660875662
MD,South,2020-08-21,10.247158075306155,0.11691243103032586
MD,South,2020-08-22,9.9808575379593,0.11691243103032586
MD,South,2020-08-23,9.485062228589957,0.11907747604940598
MD,South,2020-08-24,9.517537903876159,0.11907747604940598
MD,South,2020-08-25,9.262062591624705,0.14289297125928718
MD,South,2020-08-26,9.127829800441738,0.14505801627836729
MD,South,2020-08-27,9.402790517864911,0.13206774616388664
MD,South,2020-08-28,9.446091418246514,0.14505801627836729
MD,South,2020-08-29,9.372479887597791,0.15588324137376783
MD,South,2020-08-30,9.192781151014142,0.14505801627836729
MD,South,2020-08-31,8.928645658686369,0.13856288122112695
MD,South,2020-09-01,9.060713404850254,0.14505801627836729
MD,South,2020-09-02,9.210101511166782,0.1277376561257264
MD,South,2020-09-03,9.76002294601313,0.13206774616388664
MD,South,2020-09-04,10.33592492108844,0.14505801627836729
MD,South,2020-09-05,10.73429320459918,0.1299027011448065
MD,South,2020-09-06,10.320769605954878,0.11474738601124576
MD,South,2020-09-07,11.024409237155913,0.11258234099216566
MD,South,2020-09-08,10.807904735247902,0.11258234099216566
MD,South,2020-09-09,10.212517355000873,0.11907747604940598
MD,South,2020-09-10,10.318604560935798,0.1255726111066463
MD,South,2020-09-11,10.203857174924552,0.10825225095400544
MD,South,2020-09-12,9.837964566700014,0.10175711589676512
MD,South,2020-09-13,9.73404240578417,0.09093189080136456
MD,South,2020-09-14,9.9375566375777,0.08660180076320435
MD,South,2020-09-15,9.454751598322835,0.0974270258586049
MD,South,2020-09-16,10.073954473779747,0.10392216091584522
MD,South,2020-09-17,10.710477709389298,0.0974270258586049
MD,South,2020-09-18,10.792749420114342,0.0974270258586049
MD,South,2020-09-19,10.587070143301732,0.10392216091584522
MD,South,2020-09-20,10.34891519120292,0.09309693582044468
MD,South,2020-09-21,9.673421145249925,0.0974270258586049
MD,South,2020-09-22,9.227421871319423,0.12124252106848608
MD,South,2020-09-23,8.76410223723628,0.11474738601124576
MD,South,2020-09-24,8.456665844526905,0.11691243103032586
MD,South,2020-09-25,8.298617558134056,0.12124252106848608
